[༄༅། །​རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག།༄༅༅། །​_36_],༄༅། །​རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག།༄༅༅། །​_36_,༄༅། །​རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག།༄༅༅། །​_36_,༄༅། །​རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག།༄༅༅། །​_36_,རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ་བཞུགས་སོ། །​སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད། ༄༅། _9_,རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ་བཞུགས་སོ། །​སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད།_9_,༄༅༅། །​_9_,༄༅། །​_9_,༄༅། _9_,_9_,། །​༄༅༅། །​_9_
[ནང་_100_],ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_,ནང་_100_
[ནས་_72_],ནས་_72_,ནས་_72_,ནས་_72_,གནས་_27_,གནས་_27_,ནས་_72_,ནས་_72_,གནས་_27_,ནས་_72_,ནས་_72_
[ཕུག་_100_],ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_,ཕུག་_100_
[རོན་_100_],རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_,རོན་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[ཚོལ་_72_],ཚོལ་_72_,ཚོལ་_72_,ཚོལ་_72_,འཚོལ་_18_,འཆོལ་_9_,ཚོལ་_72_,ཚོལ་_72_,འཚོལ་_18_,ཚོལ་_72_,ཚོལ་_72_
